epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
124,5722.15,0.4153,0.38596,0.9413,0.98297,0.98467,0.99484,0.97105,0.24099,0.21262,0.8246,0.000265227,0.000265227,0.000265227
125,5769.98,0.40852,0.38399,0.94109,0.97702,0.99285,0.99367,0.96943,0.23382,0.20807,0.82301,0.000263514,0.000263514,0.000263514
126,5813.23,0.39244,0.35787,0.93823,0.98368,0.97655,0.99357,0.96998,0.2383,0.22071,0.82404,0.0002618,0.0002618,0.0002618
127,5859.04,0.40008,0.36065,0.93935,0.98497,0.97682,0.99461,0.96751,0.24189,0.21668,0.82633,0.000260086,0.000260086,0.000260086
128,5903.12,0.41168,0.3837,0.94476,0.98541,0.98671,0.99473,0.9669,0.24599,0.21708,0.82637,0.000258373,0.000258373,0.000258373
129,5949.27,0.40232,0.36199,0.94229,0.98594,0.98689,0.995,0.96959,0.24257,0.20771,0.82519,0.000256659,0.000256659,0.000256659
130,5995.41,0.40503,0.35439,0.94221,0.98473,0.98823,0.99449,0.96414,0.24324,0.20282,0.82708,0.000254946,0.000254946,0.000254946
131,6040.1,0.39821,0.34793,0.93902,0.98938,0.98597,0.995,0.96756,0.23898,0.20207,0.82149,0.000253232,0.000253232,0.000253232
132,6085.37,0.38862,0.36023,0.93229,0.98682,0.99037,0.995,0.96825,0.23771,0.20468,0.81972,0.000251518,0.000251518,0.000251518
133,6132.72,0.40362,0.37271,0.94129,0.9854,0.98575,0.99427,0.96767,0.23176,0.19559,0.81992,0.000249805,0.000249805,0.000249805
134,6177.15,0.3915,0.35645,0.94175,0.99063,0.97449,0.99408,0.96767,0.24166,0.19992,0.82531,0.000248091,0.000248091,0.000248091
135,6220.76,0.38577,0.35457,0.92153,0.98728,0.97658,0.99473,0.96467,0.22817,0.19608,0.82326,0.000246378,0.000246378,0.000246378
136,6264.2,0.39437,0.35295,0.93388,0.97903,0.98598,0.9949,0.96723,0.22936,0.20203,0.8216,0.000244664,0.000244664,0.000244664
137,6309.37,0.39529,0.36778,0.94059,0.9836,0.97981,0.99373,0.96474,0.23723,0.20403,0.8234,0.00024295,0.00024295,0.00024295
138,6354.95,0.38712,0.35231,0.93558,0.98,0.98563,0.99362,0.96973,0.23337,0.19663,0.8211,0.000241237,0.000241237,0.000241237
139,6400.4,0.39075,0.34277,0.93075,0.98028,0.98242,0.99333,0.96806,0.23832,0.20912,0.8222,0.000239523,0.000239523,0.000239523
140,6445.3,0.40008,0.36331,0.93342,0.98622,0.9867,0.99468,0.96786,0.22356,0.19549,0.81847,0.00023781,0.00023781,0.00023781
141,6490.39,0.39301,0.34009,0.93043,0.97241,0.9794,0.99307,0.9616,0.23481,0.2143,0.81705,0.000236096,0.000236096,0.000236096
142,6534.95,0.39073,0.34431,0.93453,0.98259,0.98307,0.99385,0.97235,0.23436,0.20539,0.8218,0.000234382,0.000234382,0.000234382
143,6579.35,0.38328,0.34464,0.92266,0.98415,0.98416,0.99446,0.96925,0.22841,0.19623,0.81857,0.000232669,0.000232669,0.000232669
144,6621.79,0.40549,0.35651,0.93965,0.9872,0.9833,0.99449,0.9725,0.22794,0.19565,0.81691,0.000230955,0.000230955,0.000230955
145,6664.08,0.37647,0.3378,0.93239,0.98595,0.98774,0.99473,0.97296,0.23377,0.18891,0.81758,0.000229242,0.000229242,0.000229242
146,6706.33,0.39593,0.35431,0.9419,0.99051,0.98903,0.99473,0.96661,0.24015,0.19285,0.81999,0.000227528,0.000227528,0.000227528
147,6750.22,0.38663,0.36988,0.9277,0.98889,0.99087,0.995,0.97475,0.2313,0.19462,0.81891,0.000225814,0.000225814,0.000225814
148,6794.78,0.39797,0.3539,0.9316,0.98476,0.98867,0.99458,0.97609,0.22483,0.18825,0.81568,0.000224101,0.000224101,0.000224101
149,6838.92,0.37373,0.33852,0.9282,0.98093,0.98592,0.99428,0.97167,0.22994,0.19527,0.8166,0.000222387,0.000222387,0.000222387
150,6885.08,0.39063,0.35554,0.93053,0.98852,0.97298,0.99449,0.97266,0.23198,0.20333,0.81773,0.000220674,0.000220674,0.000220674
151,6928.44,0.38194,0.34361,0.92116,0.98489,0.98557,0.9949,0.97058,0.22973,0.20435,0.81999,0.00021896,0.00021896,0.00021896
152,6971.56,0.37714,0.334,0.9296,0.98241,0.98611,0.995,0.96969,0.23515,0.1966,0.8232,0.000217246,0.000217246,0.000217246
153,7014.56,0.38337,0.3414,0.93353,0.98099,0.99226,0.995,0.97024,0.23608,0.18989,0.8232,0.000215533,0.000215533,0.000215533
154,7057.45,0.38106,0.34331,0.92842,0.9851,0.98654,0.995,0.97464,0.22684,0.19396,0.82179,0.000213819,0.000213819,0.000213819
155,7100.53,0.37928,0.3306,0.93088,0.9782,0.9879,0.99367,0.97056,0.23252,0.19812,0.82445,0.000212106,0.000212106,0.000212106
156,7143.9,0.37476,0.33199,0.93137,0.99122,0.98838,0.995,0.96918,0.23553,0.20212,0.82527,0.000210392,0.000210392,0.000210392
157,7186.86,0.40011,0.362,0.95012,0.98438,0.98881,0.995,0.96983,0.2257,0.2014,0.82143,0.000208678,0.000208678,0.000208678
158,7229.86,0.36517,0.34776,0.91865,0.98605,0.98809,0.995,0.96993,0.23086,0.20203,0.82076,0.000206965,0.000206965,0.000206965
159,7273.12,0.37066,0.33482,0.91978,0.97871,0.98816,0.99456,0.96921,0.22903,0.19542,0.82026,0.000205251,0.000205251,0.000205251
160,7316.09,0.37263,0.33029,0.93054,0.98289,0.9911,0.995,0.97185,0.22436,0.18837,0.81852,0.000203538,0.000203538,0.000203538
161,7358.93,0.3686,0.33507,0.93319,0.99113,0.98432,0.995,0.9755,0.22196,0.18641,0.81792,0.000201824,0.000201824,0.000201824
162,7401.7,0.37155,0.33461,0.91866,0.98575,0.989,0.995,0.97255,0.22895,0.19045,0.81689,0.00020011,0.00020011,0.00020011
163,7444.76,0.37082,0.33739,0.92279,0.98524,0.99276,0.99473,0.97114,0.22418,0.1916,0.81685,0.000198397,0.000198397,0.000198397
164,7487.81,0.39281,0.38448,0.94191,0.98168,0.98601,0.99445,0.97468,0.22024,0.19258,0.81827,0.000196683,0.000196683,0.000196683
165,7531.08,0.37876,0.34518,0.92843,0.98319,0.98155,0.99419,0.96605,0.22362,0.1969,0.81826,0.00019497,0.00019497,0.00019497
166,7573.81,0.36616,0.32544,0.92562,0.98022,0.97773,0.99445,0.96929,0.22384,0.19773,0.81585,0.000193256,0.000193256,0.000193256
167,7616.21,0.36578,0.32275,0.91918,0.98317,0.9893,0.995,0.97333,0.22375,0.19571,0.81951,0.000191542,0.000191542,0.000191542
168,7658.03,0.36243,0.32201,0.92456,0.98373,0.99074,0.995,0.97085,0.22537,0.19934,0.81915,0.000189829,0.000189829,0.000189829
169,7699.84,0.39334,0.35784,0.93995,0.98328,0.99222,0.995,0.97666,0.21219,0.1867,0.81418,0.000188115,0.000188115,0.000188115
170,7741.78,0.3816,0.33523,0.93676,0.97295,0.98327,0.99419,0.97225,0.2192,0.20173,0.81932,0.000186402,0.000186402,0.000186402
171,7783.82,0.37036,0.32978,0.92214,0.97644,0.9836,0.99423,0.97123,0.22138,0.19773,0.82028,0.000184688,0.000184688,0.000184688
172,7826.04,0.38144,0.33161,0.9305,0.98776,0.97977,0.99484,0.97546,0.22309,0.18685,0.81854,0.000182974,0.000182974,0.000182974
173,7868.68,0.3727,0.33877,0.93296,0.98844,0.98441,0.99484,0.97541,0.22487,0.19568,0.81895,0.000181261,0.000181261,0.000181261
174,7911.25,0.3632,0.33586,0.92376,0.99073,0.98928,0.995,0.97169,0.23297,0.20135,0.82647,0.000179547,0.000179547,0.000179547
175,7955.37,0.36864,0.33241,0.92226,0.98765,0.98368,0.99473,0.97369,0.22451,0.19577,0.81537,0.000177834,0.000177834,0.000177834
176,7998.06,0.38085,0.33573,0.93004,0.98852,0.98431,0.995,0.9738,0.22201,0.19236,0.81307,0.00017612,0.00017612,0.00017612
